id	site	country	latitude	longitude	coord_source	period	fauna_source	taxon	occurrence
128	Palegawra	Iraq	35.64	45.11	CONTEXT	Epipalaeolithic	Turnbull & Reed 1974; Uerpmann 1987	Equus	1
128	Palegawra	Iraq	35.64	45.11	CONTEXT	Early Neolithic	Turnbull & Reed 1974; Uerpmann 1987	Equus	1
130	Pirak	Pakistan	29	67	Kopp & Röllig 1994	Bronze Age	Meadow 1979b, pers. comm.	Equus	1
130	Pirak	Pakistan	29	67	Kopp & Röllig 1994	Iron Age	Meadow 1979b, pers. comm.	Equus	1
136	Quetta Valley	Pakistan	30	67	Kopp & Röllig 1994	Late Neolithic	Fairservis 1956	Equus	1
136	Quetta Valley	Pakistan	30	67	Kopp & Röllig 1994	Bronze Age	Fairservis 1956	Equus	1
138	Ras al-Amiya	Iraq	32.5	44.5	Kopp & Röllig 1994	Late Neolithic	Flannery & Cornwall 1969	Equus	1
142	Resafa	Syria	35.629	38.758	Pleiades	Historic	Boessneck 1984	Equus	1
143	Rosh Ein Mor (D15)	Israel	30.834	34.769	Rink et al. 2003	Middle Palaeolithic	Tchernov 1976	Equus	1
144	Rosh Horesha	Israel	30.5	34.58	CONTEXT	Protoneolithic	Butler, Tchernov, Hietala & Davis 1977	Equus	1
145	Rosh Zin	Israel	30.85	34.767	Schyle & Uerpmann 1996	Protoneolithic	Tchernov 1976	Equus	1
146	Sabz, Tepe	Iran	32.59	47.26	CONTEXT	Late Neolithic	Hole, Flannery & Neely 1969	Equus	1
148	Sarab	Iran	34.38	47.09	CONTEXT	Early Neolithic	Bökönyi 1977, 1978	Equus	1
149	Sawwan, Tell es-	Iraq	34.122	43.905	vici:21265	Late Neolithic	Bökönyi 1978	Equus	1
151	Shahr-e Sokhta	Iran	30.595	61.326	Pleiades	Bronze Age	Caloi & Compagnoni 1977, 1981; Compagnoni 1980	Equus	1
152	Shams ed-Din Tannira	Syria	36.167	38.167	Kopp & Röllig 1994	Late Neolithic	Uerpmann 1982	Equus	1
156	Siahbid	Iran	34.25	47	Kopp & Röllig 1994	Late Neolithic	Bökönyi 1977	Equus	1
157	Sialk	Iran	34	54	Kopp & Röllig 1994	Late Neolithic	Vaufrey 1939; Uerpmann 1987	Equus	1
