id	site	country	latitude	longitude	coord_source	periods	fauna_source	Hippopotamus_amphibius	Rhinoceros_hemitoechus	Dicerorhinus_sp	Dicerorhinus_hemitoechus	Dicerorhinus_mercki	Equus_sp	Equus_ferus	Equus_hemionus	Equus_africanus	Equus_hydruntinus	Equus_greyvi	Sus_sp	Sus_scrofa	Sus_gadarensis	Ceratotherium_simum	Phacochoerus_aethiopicus	Phacochoerus_garrodae	Addax_nasomaculatus	Damaliscus_sp	Giraffa_camelopardalis	Camelus_sp	Camelus_dromedarius	Camelus_ferus	Camelus_bactrianus	Camelus_thomasi	Homoioceras_antiquus	Cervus_sp	Cervus_elaphus	Cervus_duvauceli	Cervus_unicolor	Axis_axis	Axis_porcinus	Dama_sp	Dama_dama	Dama_mesopotamica	Capreolus_capreolus	Boselaphus_sp	Boselaphus_tragocamelus	Bos_sp	Bos_primigenius	Bubalus_sp	Bubalus_arnee	Bison_bison	Syncerus_caffer	Alcephalus_sp	Alcelaphus_buselaphus	Adenota_kob	Antilope_cervicapra	Taurotragus_sp	Oryx_sp	Oryx_leucoryx	Oryx_dammah	Hippotragus_equinus	Gazella_sp	Gazella_gazella	Gazella_dorcas	Gazella_subgutturosa	Gazella_leptocerus	Gazella_bennetti	Gazella_rufifrons	Gazella_dama	Ovis_sp	Ovis_orientalis	Ovis_vignei	Ovis_ammon	Ammotragus_lervia	Capra_sp	Capra_aegagrus	Capra_nubiana	Hemitragus_sp	Hemitragus_jayakari
45	Der, Tell ed-	Iraq	33.099	44.299	Pleiades	BA	Bökönyi 1978	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	Didyma	Turkey	37.385	27.256	Pleiades	IA	Boessneck & von den Driesch 1983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	Djebel Aruda	Syria	36.167	38.000	Kopp & Röllig 1994	LN	Buitenhuis pers. comm.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	Djeitun	Soviet Union	38.300	58.400	Harris 1997	LN	Shevchenko 1960	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
49	Dosariyah, Abu Khamis, and Ain Qannas	Saudi Arabia	26.940	49.710	CONTEXT	LN	Zeder pers. comm.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	Douara Cave	Syria	34.650	38.450	Schyle & Uerpmann 1996	MP	Payne 1983; Takai 1974	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
51	Ein Aqev	Israel	30.820	34.820	CONTEXT	UP	Tchernov 1976	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
52	Ein Gev	Israel	32.800	35.650	CONTEXT	UP;EP	Tchernov 1976	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
53	Ein Mir'i	Israel	33.067	35.450	Schyle & Uerpmann 1996	EP	Uerpmann 1987	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
54	Elephantine	Egypt	24.090	32.889	Pleiades	BA	Boessneck 1977; Boessneck & von den Driesch 1982	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
